,facebook_chat.pcap
931,"['10.152.152.11', 34010, '31.13.93.3', 443]"
932,"['31.13.93.3', 443, '10.152.152.11', 34010]"
933,"['10.152.152.11', 34010, '31.13.93.3', 443]"
934,"['10.152.152.11', 34010, '31.13.93.3', 443]"
935,"['31.13.93.3', 443, '10.152.152.11', 34010]"
936,"['66.220.158.19', 443, '10.152.152.11', 33650]"
937,"['10.152.152.11', 33650, '66.220.158.19', 443]"
938,"['66.220.158.19', 443, '10.152.152.11', 33650]"
939,"['10.152.152.11', 33650, '66.220.158.19', 443]"
940,"['10.152.152.11', 33650, '66.220.158.19', 443]"
941,"['66.220.158.19', 443, '10.152.152.11', 33650]"
942,"['10.152.152.11', 33650, '66.220.158.19', 443]"
943,"['10.152.152.11', 33650, '66.220.158.19', 443]"
944,"['66.220.158.19', 443, '10.152.152.11', 33650]"
945,"['66.220.158.19', 443, '10.152.152.11', 33650]"
946,"['66.220.158.19', 443, '10.152.152.11', 33650]"
947,"['10.152.152.11', 33650, '66.220.158.19', 443]"
948,"['66.220.158.19', 443, '10.152.152.11', 33650]"
949,"['10.152.152.11', 33650, '66.220.158.19', 443]"
950,"['66.220.158.19', 443, '10.152.152.11', 33650]"
951,"['10.152.152.11', 33650, '66.220.158.19', 443]"
952,"['66.220.158.19', 443, '10.152.152.11', 33650]"
953,"['10.152.152.11', 33650, '66.220.158.19', 443]"
954,"['66.220.158.19', 443, '10.152.152.11', 33650]"
955,"['10.152.152.11', 33650, '66.220.158.19', 443]"
956,"['66.220.158.19', 443, '10.152.152.11', 33650]"
957,"['10.152.152.11', 33650, '66.220.158.19', 443]"
958,"['31.13.93.3', 443, '10.152.152.11', 34010]"
959,"['10.152.152.11', 34010, '31.13.93.3', 443]"
960,"['31.13.93.3', 443, '10.152.152.11', 34010]"
961,"['10.152.152.11', 34010, '31.13.93.3', 443]"
962,"['10.152.152.11', 34010, '31.13.93.3', 443]"
963,"['31.13.93.3', 443, '10.152.152.11', 34010]"
964,"['31.13.93.3', 443, '10.152.152.11', 34010]"
965,"['10.152.152.11', 34010, '31.13.93.3', 443]"
966,"['31.13.93.3', 443, '10.152.152.11', 34010]"
967,"['10.152.152.11', 34010, '31.13.93.3', 443]"
968,"['10.152.152.11', 34010, '31.13.93.3', 443]"
969,"['31.13.93.3', 443, '10.152.152.11', 34010]"
970,"['31.13.93.3', 443, '10.152.152.11', 34010]"
971,"['10.152.152.11', 34010, '31.13.93.3', 443]"
972,"['31.13.93.3', 443, '10.152.152.11', 34010]"
973,"['10.152.152.11', 34010, '31.13.93.3', 443]"
974,"['10.152.152.11', 33650, '66.220.158.19', 443]"
975,"['10.152.152.11', 33650, '66.220.158.19', 443]"
976,"['66.220.158.19', 443, '10.152.152.11', 33650]"
977,"['66.220.158.19', 443, '10.152.152.11', 33650]"
978,"['10.152.152.11', 34010, '31.13.93.3', 443]"
979,"['31.13.93.3', 443, '10.152.152.11', 34010]"
980,"['66.220.158.19', 443, '10.152.152.11', 33650]"
981,"['10.152.152.11', 33650, '66.220.158.19', 443]"
982,"['10.152.152.11', 33650, '66.220.158.19', 443]"
983,"['66.220.158.19', 443, '10.152.152.11', 33650]"
984,"['10.152.152.11', 33650, '66.220.158.19', 443]"
985,"['66.220.158.19', 443, '10.152.152.11', 33650]"
986,"['10.152.152.11', 33650, '66.220.158.19', 443]"
987,"['66.220.158.19', 443, '10.152.152.11', 33650]"
988,"['10.152.152.11', 33650, '66.220.158.19', 443]"
989,"['66.220.158.19', 443, '10.152.152.11', 33650]"
990,"['66.220.158.19', 443, '10.152.152.11', 33650]"
991,"['10.152.152.11', 33650, '66.220.158.19', 443]"
992,"['66.220.158.19', 443, '10.152.152.11', 33650]"
993,"['10.152.152.11', 33650, '66.220.158.19', 443]"
994,"['66.220.158.19', 443, '10.152.152.11', 33650]"
995,"['10.152.152.11', 33650, '66.220.158.19', 443]"
996,"['31.13.93.3', 443, '10.152.152.11', 34010]"
997,"['10.152.152.11', 34010, '31.13.93.3', 443]"
998,"['31.13.93.3', 443, '10.152.152.11', 34010]"
999,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1000,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1001,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1002,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1003,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1004,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1005,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1006,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1007,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1008,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1009,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1010,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1011,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1012,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1013,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1014,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1015,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1016,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1017,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1018,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1019,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1020,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1021,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1022,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1023,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1024,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1025,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1026,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1027,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1028,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1029,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1030,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1031,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1032,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1033,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1034,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1035,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1036,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1037,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1038,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1039,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1040,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1041,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1042,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1043,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1044,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1045,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1046,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1047,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1048,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1049,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1050,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1051,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1052,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1053,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1054,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1055,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1056,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1057,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1058,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1059,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1060,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1061,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1062,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1063,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1064,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1065,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1066,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1067,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1068,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1069,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1070,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1071,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1072,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1073,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1074,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1075,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1076,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1077,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1078,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1079,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1080,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1081,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1082,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1083,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1084,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1085,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1086,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1087,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1088,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1089,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1090,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1091,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1092,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1093,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1094,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1095,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1096,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1097,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1098,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1099,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1100,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1101,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1102,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1103,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1104,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1105,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1106,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1107,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1108,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1109,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1110,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1111,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1112,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1113,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1114,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1115,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1116,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1117,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1118,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1119,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1120,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1121,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1122,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1123,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1124,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1125,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1126,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1127,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1128,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1129,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1130,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1131,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1132,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1133,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1134,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1135,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1136,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1137,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1138,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1139,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1140,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1141,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1142,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1143,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1144,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1145,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1146,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1147,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1148,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1149,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1150,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1151,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1152,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1153,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1154,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1155,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1156,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1157,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1158,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1159,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1160,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1161,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1162,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1163,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1164,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1165,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1166,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1167,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1168,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1169,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1170,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1171,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1172,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1173,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1174,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1175,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1176,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1177,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1178,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1179,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1180,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1181,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1182,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1183,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1184,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1185,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1186,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1187,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1188,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1189,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1190,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1191,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1192,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1193,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1194,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1195,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1196,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1197,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1198,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1199,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1200,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1201,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1202,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1203,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1204,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1205,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1206,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1207,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1208,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1209,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1210,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1211,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1212,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1213,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1214,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1215,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1216,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1217,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1218,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1219,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1220,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1221,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1222,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1223,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1224,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1225,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1226,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1227,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1228,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1229,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1230,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1231,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1232,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1233,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1234,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1235,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1236,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1237,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1238,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1239,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1240,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1241,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1242,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1243,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1244,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1245,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1246,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1247,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1248,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1249,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1250,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1251,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1252,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1253,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1254,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1255,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1256,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1257,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1258,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1259,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1260,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1261,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1262,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1263,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1264,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1265,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1266,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1267,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1268,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1269,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1270,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1271,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1272,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1273,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1274,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1275,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1276,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1277,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1278,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1279,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1280,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1281,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1282,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1283,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1284,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1285,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1286,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1287,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1288,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1289,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1290,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1291,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1292,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1293,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1294,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1295,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1296,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1297,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1298,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1299,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1300,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1301,"['10.152.152.11', 33799, '104.86.110.33', 443]"
1302,"['10.152.152.11', 33801, '104.86.110.33', 443]"
1303,"['104.86.110.33', 443, '10.152.152.11', 33799]"
1304,"['104.86.110.33', 443, '10.152.152.11', 33801]"
1305,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1306,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1307,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1308,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1309,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1310,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1311,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1312,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1313,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1314,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1315,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1316,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1317,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1318,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1319,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1320,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1321,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1322,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1323,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1324,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1325,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1326,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1327,"['10.152.152.11', 33804, '104.86.110.33', 443]"
1328,"['10.152.152.11', 33806, '104.86.110.33', 443]"
1329,"['104.86.110.33', 443, '10.152.152.11', 33804]"
1330,"['104.86.110.33', 443, '10.152.152.11', 33806]"
1331,"['10.152.152.11', 39920, '46.229.224.44', 443]"
1332,"['10.152.152.11', 50199, '2.16.162.51', 443]"
1333,"['46.229.224.44', 443, '10.152.152.11', 39920]"
1334,"['2.16.162.51', 443, '10.152.152.11', 50199]"
1335,"['10.152.152.11', 33807, '104.86.110.33', 443]"
1336,"['104.86.110.33', 443, '10.152.152.11', 33807]"
1337,"['10.152.152.11', 33809, '104.86.110.33', 443]"
1338,"['104.86.110.33', 443, '10.152.152.11', 33809]"
1339,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1340,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1341,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1342,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1343,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1344,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1345,"['10.152.152.11', 33796, '104.86.110.33', 443]"
1346,"['104.86.110.33', 443, '10.152.152.11', 33796]"
1347,"['10.152.152.11', 33797, '104.86.110.33', 443]"
1348,"['104.86.110.33', 443, '10.152.152.11', 33797]"
1349,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1350,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1351,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1352,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1353,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1354,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1355,"['10.152.152.11', 33802, '104.86.110.33', 443]"
1356,"['104.86.110.33', 443, '10.152.152.11', 33802]"
1357,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1358,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1359,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1360,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1361,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1362,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1363,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1364,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1365,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1366,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1367,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1368,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1369,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1370,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1371,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1372,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1373,"['10.152.152.11', 34927, '173.194.204.188', 5228]"
1374,"['173.194.204.188', 5228, '10.152.152.11', 34927]"
1375,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1376,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1377,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1378,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1379,"['66.220.158.19', 443, '10.152.152.11', 33650]"
1380,"['10.152.152.11', 33650, '66.220.158.19', 443]"
1381,"['10.152.152.11', 34010, '31.13.93.3', 443]"
1382,"['31.13.93.3', 443, '10.152.152.11', 34010]"
1383,"['66.220.158.19', 443, '10.152.152.11', 33650]"
