,ssl.pcap
22272,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22273,"['10.152.152.11', 56253, '82.199.80.141', 80]"
22274,"['10.152.152.11', 56253, '82.199.80.141', 80]"
22275,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22276,"['10.152.152.11', 38024, '54.243.44.16', 80]"
22277,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22278,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22279,"['54.243.44.16', 80, '10.152.152.11', 38024]"
22280,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22281,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22282,"['173.192.220.64', 80, '10.152.152.11', 37086]"
22283,"['10.152.152.11', 37086, '173.192.220.64', 80]"
22284,"['172.227.145.76', 80, '10.152.152.11', 33785]"
22285,"['172.227.145.76', 80, '10.152.152.11', 33785]"
22286,"['172.227.145.76', 80, '10.152.152.11', 33785]"
22287,"['10.152.152.11', 33785, '172.227.145.76', 80]"
22288,"['172.227.145.76', 80, '10.152.152.11', 33785]"
22289,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
22290,"['10.152.152.11', 33785, '172.227.145.76', 80]"
22291,"['10.152.152.11', 50051, '173.194.116.77', 80]"
22292,"['173.194.116.77', 80, '10.152.152.11', 50051]"
22293,"['10.152.152.11', 41098, '54.72.42.191', 80]"
22294,"['54.72.42.191', 80, '10.152.152.11', 41098]"
22295,"['172.227.145.76', 80, '10.152.152.11', 33814]"
22296,"['10.152.152.11', 33814, '172.227.145.76', 80]"
22297,"['172.227.145.76', 80, '10.152.152.11', 33813]"
22298,"['172.227.145.76', 80, '10.152.152.11', 33813]"
22299,"['10.152.152.11', 33813, '172.227.145.76', 80]"
22300,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
22301,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22302,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22303,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
22304,"['54.88.141.155', 80, '10.152.152.11', 47633]"
22305,"['10.152.152.11', 47633, '54.88.141.155', 80]"
22306,"['54.88.141.155', 80, '10.152.152.11', 47633]"
22307,"['10.152.152.11', 57970, '98.139.225.43', 80]"
22308,"['98.139.225.43', 80, '10.152.152.11', 57970]"
22309,"['10.152.152.11', 57970, '98.139.225.43', 80]"
22310,"['10.152.152.11', 47633, '54.88.141.155', 80]"
22311,"['54.88.141.155', 80, '10.152.152.11', 47633]"
22312,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
22313,"['10.152.152.11', 57970, '98.139.225.43', 80]"
22314,"['98.139.225.43', 80, '10.152.152.11', 57970]"
22315,"['31.186.229.27', 80, '10.152.152.11', 45761]"
22316,"['10.152.152.11', 45761, '31.186.229.27', 80]"
22317,"['31.186.229.27', 80, '10.152.152.11', 45761]"
22318,"['10.152.152.11', 45761, '31.186.229.27', 80]"
22319,"['31.186.229.27', 80, '10.152.152.11', 45761]"
22320,"['10.152.152.11', 45761, '31.186.229.27', 80]"
22321,"['31.186.229.27', 80, '10.152.152.11', 45761]"
22322,"['31.186.229.27', 80, '10.152.152.11', 45762]"
22323,"['10.152.152.11', 45762, '31.186.229.27', 80]"
22324,"['31.186.229.27', 80, '10.152.152.11', 45762]"
22325,"['10.152.152.11', 45762, '31.186.229.27', 80]"
22326,"['31.186.229.27', 80, '10.152.152.11', 45762]"
22327,"['10.152.152.11', 45762, '31.186.229.27', 80]"
22328,"['31.186.229.27', 80, '10.152.152.11', 45762]"
22329,"['54.76.6.191', 80, '10.152.152.11', 37175]"
22330,"['10.152.152.11', 37175, '54.76.6.191', 80]"
22331,"['10.152.152.11', 54878, '199.16.172.84', 80]"
22332,"['199.16.172.84', 80, '10.152.152.11', 54878]"
22333,"['10.152.152.11', 45761, '31.186.229.27', 80]"
22334,"['31.186.229.27', 80, '10.152.152.11', 45761]"
22335,"['10.152.152.11', 48654, '54.88.209.78', 80]"
22336,"['10.152.152.11', 45762, '31.186.229.27', 80]"
22337,"['54.88.209.78', 80, '10.152.152.11', 48654]"
22338,"['31.186.229.27', 80, '10.152.152.11', 45762]"
22339,"['10.152.152.11', 36997, '23.212.211.146', 80]"
22340,"['23.212.211.146', 80, '10.152.152.11', 36997]"
22341,"['31.186.229.27', 80, '10.152.152.11', 45763]"
22342,"['10.152.152.11', 45763, '31.186.229.27', 80]"
22343,"['31.186.229.27', 80, '10.152.152.11', 45763]"
22344,"['10.152.152.11', 45763, '31.186.229.27', 80]"
22345,"['31.186.229.27', 80, '10.152.152.11', 45763]"
22346,"['10.152.152.11', 45763, '31.186.229.27', 80]"
22347,"['31.186.229.27', 80, '10.152.152.11', 45763]"
22348,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
22349,"['54.243.44.16', 80, '10.152.152.11', 38024]"
22350,"['10.152.152.11', 38024, '54.243.44.16', 80]"
22351,"['10.152.152.11', 47158, '46.228.164.13', 80]"
22352,"['46.228.164.13', 80, '10.152.152.11', 47158]"
22353,"['10.152.152.11', 47158, '46.228.164.13', 80]"
22354,"['10.152.152.11', 47158, '46.228.164.13', 80]"
22355,"['10.152.152.11', 37086, '173.192.220.64', 80]"
22356,"['46.228.164.13', 80, '10.152.152.11', 47158]"
22357,"['173.192.220.64', 80, '10.152.152.11', 37086]"
22358,"['10.152.152.11', 45763, '31.186.229.27', 80]"
22359,"['10.152.152.11', 43561, '184.169.162.140', 80]"
22360,"['10.152.152.11', 43543, '184.169.162.140', 80]"
22361,"['184.169.162.140', 80, '10.152.152.11', 43561]"
22362,"['10.152.152.11', 43561, '184.169.162.140', 80]"
22363,"['184.169.162.140', 80, '10.152.152.11', 43543]"
22364,"['10.152.152.11', 53410, '172.227.122.124', 80]"
22365,"['10.152.152.11', 53411, '172.227.122.124', 80]"
22366,"['172.227.122.124', 80, '10.152.152.11', 53410]"
22367,"['10.152.152.11', 53410, '172.227.122.124', 80]"
22368,"['10.152.152.11', 58441, '54.173.196.227', 80]"
22369,"['172.227.122.124', 80, '10.152.152.11', 53411]"
22370,"['10.152.152.11', 53411, '172.227.122.124', 80]"
22371,"['10.152.152.11', 59585, '198.47.127.15', 80]"
22372,"['10.152.152.11', 59586, '198.47.127.15', 80]"
22373,"['10.152.152.11', 59587, '198.47.127.15', 80]"
22374,"['10.152.152.11', 59588, '198.47.127.15', 80]"
22375,"['54.173.196.227', 80, '10.152.152.11', 58441]"
22376,"['10.152.152.11', 58441, '54.173.196.227', 80]"
22377,"['10.152.152.11', 59589, '198.47.127.15', 80]"
22378,"['10.152.152.11', 33955, '198.47.127.17', 80]"
22379,"['198.47.127.15', 80, '10.152.152.11', 59585]"
22380,"['10.152.152.11', 59585, '198.47.127.15', 80]"
22381,"['198.47.127.15', 80, '10.152.152.11', 59586]"
22382,"['10.152.152.11', 59586, '198.47.127.15', 80]"
22383,"['198.47.127.15', 80, '10.152.152.11', 59587]"
22384,"['10.152.152.11', 59587, '198.47.127.15', 80]"
22385,"['198.47.127.15', 80, '10.152.152.11', 59588]"
22386,"['10.152.152.11', 59588, '198.47.127.15', 80]"
22387,"['10.152.152.11', 33956, '198.47.127.17', 80]"
22388,"['10.152.152.11', 33957, '198.47.127.17', 80]"
22389,"['198.47.127.15', 80, '10.152.152.11', 59589]"
22390,"['10.152.152.11', 59589, '198.47.127.15', 80]"
22391,"['198.47.127.17', 80, '10.152.152.11', 33955]"
22392,"['10.152.152.11', 33955, '198.47.127.17', 80]"
22393,"['10.152.152.11', 33146, '54.235.92.32', 80]"
22394,"['198.47.127.17', 80, '10.152.152.11', 33956]"
22395,"['10.152.152.11', 33956, '198.47.127.17', 80]"
22396,"['198.47.127.17', 80, '10.152.152.11', 33957]"
22397,"['10.152.152.11', 33957, '198.47.127.17', 80]"
22398,"['54.235.92.32', 80, '10.152.152.11', 33146]"
22399,"['10.152.152.11', 33146, '54.235.92.32', 80]"
22400,"['10.152.152.11', 41232, '173.192.202.132', 80]"
22401,"['10.152.152.11', 41233, '173.192.202.132', 80]"
22402,"['10.152.152.11', 44338, '75.98.35.20', 80]"
22403,"['10.152.152.11', 44339, '75.98.35.20', 80]"
22404,"['10.152.152.11', 52817, '78.31.70.52', 80]"
22405,"['173.192.202.132', 80, '10.152.152.11', 41232]"
22406,"['10.152.152.11', 41232, '173.192.202.132', 80]"
22407,"['173.192.202.132', 80, '10.152.152.11', 41233]"
22408,"['10.152.152.11', 41233, '173.192.202.132', 80]"
22409,"['75.98.35.20', 80, '10.152.152.11', 44338]"
22410,"['10.152.152.11', 44338, '75.98.35.20', 80]"
22411,"['75.98.35.20', 80, '10.152.152.11', 44339]"
22412,"['10.152.152.11', 44339, '75.98.35.20', 80]"
22413,"['78.31.70.52', 80, '10.152.152.11', 52817]"
22414,"['10.152.152.11', 52817, '78.31.70.52', 80]"
22415,"['10.152.152.11', 52818, '78.31.70.52', 80]"
22416,"['10.152.152.11', 58266, '94.228.133.235', 80]"
22417,"['10.152.152.11', 44798, '8.30.11.13', 80]"
22418,"['78.31.70.52', 80, '10.152.152.11', 52818]"
22419,"['10.152.152.11', 52818, '78.31.70.52', 80]"
22420,"['94.228.133.235', 80, '10.152.152.11', 58266]"
22421,"['10.152.152.11', 58266, '94.228.133.235', 80]"
22422,"['8.30.11.13', 80, '10.152.152.11', 44798]"
22423,"['10.152.152.11', 44798, '8.30.11.13', 80]"
22424,"['10.152.152.11', 45763, '31.186.229.27', 80]"
22425,"['31.186.229.27', 80, '10.152.152.11', 45763]"
22426,"['10.152.152.11', 47180, '46.228.164.13', 80]"
22427,"['10.152.152.11', 53279, '172.227.122.124', 80]"
22428,"['46.228.164.13', 80, '10.152.152.11', 47180]"
22429,"['10.152.152.11', 47180, '46.228.164.13', 80]"
22430,"['172.227.122.124', 80, '10.152.152.11', 53279]"
22431,"['10.152.152.11', 53279, '172.227.122.124', 80]"
22432,"['10.152.152.11', 47180, '46.228.164.13', 80]"
22433,"['172.227.122.124', 80, '10.152.152.11', 53279]"
22434,"['46.228.164.13', 80, '10.152.152.11', 47180]"
22435,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
22436,"['10.152.152.11', 56142, '5.153.5.70', 80]"
22437,"['54.228.202.149', 443, '10.152.152.11', 50925]"
22438,"['10.152.152.11', 50925, '54.228.202.149', 443]"
22439,"['5.153.5.70', 80, '10.152.152.11', 56142]"
22440,"['10.152.152.11', 56142, '5.153.5.70', 80]"
22441,"['10.152.152.11', 56142, '5.153.5.70', 80]"
22442,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22443,"['10.152.152.11', 56253, '82.199.80.141', 80]"
22444,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22445,"['10.152.152.11', 56253, '82.199.80.141', 80]"
22446,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22447,"['5.153.5.70', 80, '10.152.152.11', 56142]"
22448,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22449,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22450,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22451,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22452,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22453,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22454,"['10.152.152.11', 56253, '82.199.80.141', 80]"
22455,"['82.199.80.141', 80, '10.152.152.11', 56253]"
22456,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22457,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22458,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22459,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22460,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22461,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22462,"['173.194.116.58', 80, '10.152.152.11', 52396]"
22463,"['10.152.152.11', 52396, '173.194.116.58', 80]"
22464,"['173.194.116.77', 80, '10.152.152.11', 50051]"
22465,"['10.152.152.11', 50051, '173.194.116.77', 80]"
22466,"['63.140.35.162', 80, '10.152.152.11', 43016]"
22467,"['54.72.42.191', 80, '10.152.152.11', 41098]"
22468,"['10.152.152.11', 41098, '54.72.42.191', 80]"
22469,"['10.152.152.11', 43016, '63.140.35.162', 80]"
22470,"['54.88.209.78', 80, '10.152.152.11', 48654]"
22471,"['10.152.152.11', 48654, '54.88.209.78', 80]"
22472,"['54.88.209.78', 80, '10.152.152.11', 48654]"
22473,"['10.152.152.11', 48654, '54.88.209.78', 80]"
22474,"['199.16.172.84', 80, '10.152.152.11', 54878]"
22475,"['10.152.152.11', 54878, '199.16.172.84', 80]"
22476,"['98.139.225.43', 80, '10.152.152.11', 57970]"
22477,"['10.152.152.11', 57970, '98.139.225.43', 80]"
22478,"['184.169.162.140', 80, '10.152.152.11', 43543]"
22479,"['10.152.152.11', 43543, '184.169.162.140', 80]"
22480,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22481,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22482,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22483,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22484,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22485,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22486,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22487,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22488,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22489,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22490,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22491,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22492,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22493,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22494,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22495,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22496,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22497,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22498,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22499,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22500,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22501,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22502,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22503,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22504,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22505,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22506,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22507,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22508,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22509,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22510,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22511,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22512,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22513,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22514,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22515,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22516,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22517,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22518,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22519,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22520,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22521,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22522,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22523,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22524,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22525,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
22526,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22527,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22528,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22529,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22530,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22531,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22532,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22533,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22534,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22535,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22536,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22537,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22538,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22539,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22540,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22541,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22542,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22543,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22544,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22545,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22546,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22547,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22548,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22549,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22550,"['10.152.152.11', 47182, '46.228.164.13', 80]"
22551,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22552,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22553,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22554,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22555,"['46.228.164.13', 80, '10.152.152.11', 47182]"
22556,"['10.152.152.11', 47182, '46.228.164.13', 80]"
22557,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22558,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22559,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22560,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22561,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22562,"['10.152.152.11', 47182, '46.228.164.13', 80]"
22563,"['46.228.164.13', 80, '10.152.152.11', 47182]"
22564,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22565,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22566,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22567,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22568,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22569,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22570,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22571,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22572,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22573,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22574,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22575,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22576,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22577,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22578,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22579,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22580,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22581,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22582,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22583,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22584,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22585,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22586,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22587,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22588,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22589,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22590,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22591,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22592,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22593,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22594,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22595,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22596,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22597,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22598,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22599,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22600,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22601,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22602,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22603,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22604,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22605,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22606,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22607,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22608,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22609,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22610,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22611,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22612,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22613,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22614,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22615,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22616,"['173.192.220.64', 80, '10.152.152.11', 37086]"
22617,"['10.152.152.11', 37086, '173.192.220.64', 80]"
22618,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22619,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22620,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22621,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22622,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22623,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22624,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22625,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22626,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22627,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22628,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22629,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22630,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22631,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22632,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22633,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22634,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22635,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22636,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22637,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22638,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22639,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22640,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22641,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22642,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22643,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22644,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22645,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22646,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22647,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22648,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22649,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22650,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22651,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22652,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22653,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22654,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22655,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22656,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22657,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22658,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22659,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22660,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22661,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22662,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22663,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22664,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22665,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22666,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22667,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22668,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22669,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22670,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22671,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22672,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22673,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22674,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22675,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22676,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22677,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22678,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22679,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22680,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22681,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22682,"['46.4.103.134', 80, '10.152.152.11', 50208]"
22683,"['23.212.211.146', 80, '10.152.152.11', 36997]"
22684,"['10.152.152.11', 36997, '23.212.211.146', 80]"
22685,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22686,"['173.194.116.58', 80, '10.152.152.11', 52212]"
22687,"['10.152.152.11', 50208, '46.4.103.134', 80]"
22688,"['10.152.152.11', 52212, '173.194.116.58', 80]"
22689,"['10.152.152.11', 45098, '216.52.121.177', 80]"
22690,"['216.52.121.177', 80, '10.152.152.11', 45098]"
22691,"['10.152.152.11', 45098, '216.52.121.177', 80]"
22692,"['10.152.152.11', 45098, '216.52.121.177', 80]"
22693,"['216.52.121.177', 80, '10.152.152.11', 45098]"
22694,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
22695,"['172.227.122.124', 80, '10.152.152.11', 53279]"
22696,"['10.152.152.11', 53279, '172.227.122.124', 80]"
22697,"['10.152.152.11', 39139, '77.109.147.146', 80]"
22698,"['77.109.147.146', 80, '10.152.152.11', 39139]"
22699,"['10.152.152.11', 39139, '77.109.147.146', 80]"
22700,"['10.152.152.11', 39139, '77.109.147.146', 80]"
22701,"['77.109.147.146', 80, '10.152.152.11', 39139]"
22702,"['46.228.164.13', 80, '10.152.152.11', 47158]"
22703,"['10.152.152.11', 47158, '46.228.164.13', 80]"
22704,"['10.152.152.11', 47663, '54.88.141.155', 80]"
22705,"['54.88.141.155', 80, '10.152.152.11', 47663]"
22706,"['10.152.152.11', 47663, '54.88.141.155', 80]"
22707,"['10.152.152.11', 47663, '54.88.141.155', 80]"
22708,"['10.152.152.11', 47663, '54.88.141.155', 80]"
22709,"['54.88.141.155', 80, '10.152.152.11', 47663]"
22710,"['54.88.141.155', 80, '10.152.152.11', 47663]"
22711,"['10.152.152.11', 56283, '82.199.80.141', 80]"
22712,"['82.199.80.141', 80, '10.152.152.11', 56283]"
22713,"['10.152.152.11', 56283, '82.199.80.141', 80]"
22714,"['10.152.152.11', 56283, '82.199.80.141', 80]"
22715,"['82.199.80.141', 80, '10.152.152.11', 56283]"
22716,"['46.228.164.13', 80, '10.152.152.11', 47180]"
22717,"['10.152.152.11', 47180, '46.228.164.13', 80]"
22718,"['5.153.5.70', 80, '10.152.152.11', 56142]"
22719,"['10.152.152.11', 56142, '5.153.5.70', 80]"
22720,"['10.152.152.11', 47665, '54.88.141.155', 80]"
