,browsing2-2.pcap
30936,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30937,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30938,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30939,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30940,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30941,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30942,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30943,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30944,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30945,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30946,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30947,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30948,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30949,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30950,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30951,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30952,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30953,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30954,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30955,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30956,"['54.192.29.200', 80, '10.152.152.11', 47454]"
30957,"['10.152.152.11', 47454, '54.192.29.200', 80]"
30958,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30959,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30960,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30961,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30962,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30963,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30964,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30965,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30966,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
30967,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30968,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30969,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30970,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30971,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30972,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30973,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30974,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30975,"['10.152.152.11', 41029, '31.13.91.6', 443]"
30976,"['31.13.91.6', 443, '10.152.152.11', 41029]"
30977,"['10.152.152.11', 41029, '31.13.91.6', 443]"
30978,"['10.152.152.11', 41029, '31.13.91.6', 443]"
30979,"['31.13.91.6', 443, '10.152.152.11', 41029]"
30980,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30981,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30982,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30983,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30984,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30985,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30986,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30987,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30988,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30989,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30990,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30991,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30992,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30993,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30994,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30995,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30996,"['10.152.152.11', 47455, '54.192.29.200', 80]"
30997,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30998,"['54.192.29.200', 80, '10.152.152.11', 47455]"
30999,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31000,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31001,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31002,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31003,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31004,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31005,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31006,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31007,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31008,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31009,"['54.192.29.200', 80, '10.152.152.11', 47456]"
31010,"['54.192.29.200', 80, '10.152.152.11', 47456]"
31011,"['10.152.152.11', 47456, '54.192.29.200', 80]"
31012,"['10.152.152.11', 47456, '54.192.29.200', 80]"
31013,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31014,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31015,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31016,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31017,"['54.192.29.200', 80, '10.152.152.11', 47456]"
31018,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31019,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31020,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31021,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31022,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31023,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31024,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31025,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31026,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31027,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31028,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31029,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31030,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31031,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31032,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31033,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31034,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31035,"['10.152.152.11', 41782, '46.236.64.59', 80]"
31036,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31037,"['46.236.64.59', 80, '10.152.152.11', 41782]"
31038,"['10.152.152.11', 41782, '46.236.64.59', 80]"
31039,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31040,"['10.152.152.11', 41782, '46.236.64.59', 80]"
31041,"['46.236.64.59', 80, '10.152.152.11', 41782]"
31042,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31043,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31044,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31045,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31046,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31047,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31048,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31049,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31050,"['10.152.152.11', 47454, '54.192.29.200', 80]"
31051,"['54.192.29.200', 80, '10.152.152.11', 47454]"
31052,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31053,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31054,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31055,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31056,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31057,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31058,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31059,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31060,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31061,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31062,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31063,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31064,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31065,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31066,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31067,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31068,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31069,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31070,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31071,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31072,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31073,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31074,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31075,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31076,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31077,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31078,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31079,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31080,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31081,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31082,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31083,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31084,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31085,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31086,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31087,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31088,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31089,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31090,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31091,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31092,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31093,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31094,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31095,"['46.4.103.134', 80, '10.152.152.11', 52332]"
31096,"['10.152.152.11', 52332, '46.4.103.134', 80]"
31097,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31098,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31099,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31100,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31101,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31102,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31103,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31104,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31105,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31106,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31107,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31108,"['10.152.152.11', 47455, '54.192.29.200', 80]"
31109,"['54.192.29.200', 80, '10.152.152.11', 47455]"
31110,"['10.152.152.11', 35451, '173.241.240.219', 80]"
31111,"['173.241.240.219', 80, '10.152.152.11', 35451]"
31112,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31113,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31114,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31115,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31116,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31117,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31118,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31119,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31120,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31121,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31122,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31123,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31124,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31125,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31126,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31127,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31128,"['10.152.152.11', 41031, '31.13.91.6', 443]"
31129,"['31.13.91.6', 443, '10.152.152.11', 41031]"
31130,"['10.152.152.11', 41031, '31.13.91.6', 443]"
31131,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31132,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
31133,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31134,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31135,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31136,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31137,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31138,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31139,"['10.152.152.11', 41031, '31.13.91.6', 443]"
31140,"['31.13.91.6', 443, '10.152.152.11', 41031]"
31141,"['10.152.152.11', 41031, '31.13.91.6', 443]"
31142,"['31.13.91.6', 443, '10.152.152.11', 41031]"
31143,"['10.152.152.11', 41031, '31.13.91.6', 443]"
31144,"['10.152.152.11', 41032, '31.13.91.6', 443]"
31145,"['31.13.91.6', 443, '10.152.152.11', 41032]"
31146,"['10.152.152.11', 41032, '31.13.91.6', 443]"
31147,"['10.152.152.11', 41032, '31.13.91.6', 443]"
31148,"['31.13.91.6', 443, '10.152.152.11', 41032]"
31149,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31150,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31151,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31152,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31153,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31154,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31155,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31156,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31157,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31158,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31159,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31160,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31161,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31162,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31163,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31164,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31165,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31166,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31167,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31168,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31169,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31170,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31171,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31172,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31173,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31174,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31175,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31176,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31177,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31178,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31179,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31180,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31181,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31182,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31183,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31184,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31185,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31186,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31187,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31188,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31189,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31190,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31191,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31192,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31193,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31194,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31195,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31196,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31197,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31198,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31199,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31200,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31201,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31202,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31203,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31204,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31205,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31206,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31207,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31208,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31209,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31210,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31211,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31212,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31213,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31214,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31215,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31216,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31217,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31218,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31219,"['10.152.152.11', 47452, '54.192.29.200', 80]"
31220,"['54.192.29.200', 80, '10.152.152.11', 47452]"
31221,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31222,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31223,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31224,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31225,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31226,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31227,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31228,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31229,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31230,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31231,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31232,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31233,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31234,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31235,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31236,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31237,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31238,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31239,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31240,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31241,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31242,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31243,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31244,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31245,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31246,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31247,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31248,"['10.152.152.11', 58403, '173.194.65.157', 443]"
31249,"['173.194.65.157', 443, '10.152.152.11', 58403]"
31250,"['10.152.152.11', 58403, '173.194.65.157', 443]"
31251,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31252,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31253,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31254,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31255,"['10.152.152.11', 58403, '173.194.65.157', 443]"
31256,"['173.194.65.157', 443, '10.152.152.11', 58403]"
31257,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31258,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31259,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31260,"['10.152.152.11', 58403, '173.194.65.157', 443]"
31261,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31262,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31263,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31264,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31265,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31266,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31267,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31268,"['173.194.65.157', 443, '10.152.152.11', 58403]"
31269,"['10.152.152.11', 58404, '173.194.65.157', 443]"
31270,"['10.152.152.11', 58403, '173.194.65.157', 443]"
31271,"['173.194.65.157', 443, '10.152.152.11', 58404]"
31272,"['10.152.152.11', 58404, '173.194.65.157', 443]"
31273,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31274,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31275,"['10.152.152.11', 58404, '173.194.65.157', 443]"
31276,"['173.194.65.157', 443, '10.152.152.11', 58404]"
31277,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31278,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31279,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31280,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31281,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31282,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31283,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31284,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31285,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31286,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31287,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31288,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31289,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31290,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31291,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31292,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31293,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31294,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31295,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31296,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31297,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31298,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31299,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31300,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31301,"['10.152.152.11', 37149, '173.194.65.132', 80]"
31302,"['173.194.65.132', 80, '10.152.152.11', 37149]"
31303,"['10.152.152.11', 37149, '173.194.65.132', 80]"
31304,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31305,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31306,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31307,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31308,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31309,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31310,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31311,"['10.152.152.11', 47451, '54.192.29.200', 80]"
31312,"['54.192.29.200', 80, '10.152.152.11', 47451]"
31313,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31314,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31315,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31316,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31317,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31318,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31319,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31320,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31321,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31322,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31323,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31324,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31325,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31326,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31327,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31328,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31329,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31330,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31331,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31332,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31333,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31334,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31335,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31336,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31337,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31338,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31339,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31340,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31341,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31342,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31343,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31344,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31345,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31346,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31347,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31348,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31349,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31350,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31351,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31352,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31353,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31354,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31355,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31356,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31357,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31358,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31359,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31360,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31361,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31362,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31363,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31364,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31365,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31366,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31367,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31368,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31369,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31370,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31371,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31372,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31373,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31374,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31375,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31376,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31377,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31378,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31379,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31380,"['54.192.29.200', 80, '10.152.152.11', 47453]"
31381,"['10.152.152.11', 47453, '54.192.29.200', 80]"
31382,"['54.192.29.200', 80, '10.152.152.11', 47453]"
