,spotifyAndrew.pcap
18826,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18827,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18828,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18829,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18830,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18831,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18832,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18833,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18834,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18835,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18836,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18837,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18838,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18839,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18840,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18841,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18842,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18843,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18844,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18845,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18846,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18847,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18848,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18849,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18850,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18851,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18852,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18853,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18854,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18855,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18856,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18857,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18858,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18859,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18860,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18861,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18862,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18863,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18864,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18865,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18866,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18867,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18868,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18869,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18870,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18871,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18872,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18873,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18874,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18875,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18876,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18877,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18878,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18879,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18880,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18881,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18882,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18883,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18884,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18885,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18886,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18887,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18888,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18889,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18890,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18891,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18892,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18893,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18894,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18895,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18896,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18897,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18898,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18899,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18900,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18901,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18902,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18903,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18904,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18905,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18906,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18907,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18908,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18909,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18910,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18911,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18912,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18913,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18914,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18915,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18916,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18917,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18918,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18919,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18920,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18921,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18922,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18923,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18924,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18925,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18926,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18927,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18928,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18929,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18930,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18931,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18932,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18933,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18934,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18935,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18936,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18937,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18938,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18939,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18940,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18941,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18942,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18943,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18944,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18945,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18946,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18947,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18948,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18949,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18950,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18951,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18952,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18953,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18954,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18955,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18956,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18957,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18958,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18959,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18960,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18961,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18962,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18963,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18964,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18965,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18966,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18967,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18968,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18969,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18970,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18971,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18972,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18973,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18974,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18975,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18976,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18977,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18978,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18979,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18980,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18981,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18982,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18983,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18984,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18985,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18986,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18987,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18988,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18989,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18990,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18991,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18992,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18993,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18994,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18995,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18996,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18997,"['68.232.34.151', 80, '10.152.152.11', 45416]"
18998,"['10.152.152.11', 45416, '68.232.34.151', 80]"
18999,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19000,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19001,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19002,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19003,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19004,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19005,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19006,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19007,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19008,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19009,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19010,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19011,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19012,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19013,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19014,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19015,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19016,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19017,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19018,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19019,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19020,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19021,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19022,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19023,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19024,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19025,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19026,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19027,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19028,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19029,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19030,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19031,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19032,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19033,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19034,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19035,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19036,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19037,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19038,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19039,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19040,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19041,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19042,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19043,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19044,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19045,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19046,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19047,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19048,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19049,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19050,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19051,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19052,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19053,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19054,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19055,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19056,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19057,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19058,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19059,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19060,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19061,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19062,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19063,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19064,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19065,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19066,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19067,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19068,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19069,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19070,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19071,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19072,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19073,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19074,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19075,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19076,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19077,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19078,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19079,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19080,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19081,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19082,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19083,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19084,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19085,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19086,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19087,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19088,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19089,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19090,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19091,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19092,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19093,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19094,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19095,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19096,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19097,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19098,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19099,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19100,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19101,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19102,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19103,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19104,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19105,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19106,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19107,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19108,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19109,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19110,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19111,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19112,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19113,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19114,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19115,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19116,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19117,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19118,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19119,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19120,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19121,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19122,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19123,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19124,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19125,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19126,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19127,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19128,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19129,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19130,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19131,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19132,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19133,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19134,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19135,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19136,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19137,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19138,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19139,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19140,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19141,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19142,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19143,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19144,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19145,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19146,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19147,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19148,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19149,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19150,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19151,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19152,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19153,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19154,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19155,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19156,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19157,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19158,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19159,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19160,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19161,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19162,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19163,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19164,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19165,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19166,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19167,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19168,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19169,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19170,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19171,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19172,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19173,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19174,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19175,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19176,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19177,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19178,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19179,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19180,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19181,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19182,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19183,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19184,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19185,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19186,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19187,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19188,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19189,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19190,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19191,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19192,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19193,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19194,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19195,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19196,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19197,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19198,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19199,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19200,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19201,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19202,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19203,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19204,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19205,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19206,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19207,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19208,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19209,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19210,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19211,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19212,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19213,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19214,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19215,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19216,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19217,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19218,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19219,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19220,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19221,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19222,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19223,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19224,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19225,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19226,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19227,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19228,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19229,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19230,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19231,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19232,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19233,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19234,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19235,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19236,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19237,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19238,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19239,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19240,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19241,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19242,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19243,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19244,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19245,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19246,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19247,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19248,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19249,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19250,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19251,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19252,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19253,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19254,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19255,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19256,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19257,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19258,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19259,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19260,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19261,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19262,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19263,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19264,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19265,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19266,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19267,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19268,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19269,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19270,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19271,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19272,"['68.232.34.151', 80, '10.152.152.11', 45416]"
19273,"['10.152.152.11', 45416, '68.232.34.151', 80]"
19274,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
19275,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
19276,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
